CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,2,Potential
12347,2,7,4310.0,1,At-Risk
12348,75,4,1797.24,2,Potential
12349,19,1,1757.55,0,Champions
12350,310,1,334.40000000000003,3,Loyal
12352,36,8,2506.04,2,Potential
12353,204,1,89.0,3,Loyal
12354,232,1,1079.4,3,Loyal
12355,214,1,459.40000000000003,3,Loyal
12356,23,3,2811.43,2,Potential
12357,33,1,6207.67,2,Potential
12358,2,2,1168.06,0,Champions
12359,58,4,6372.58,2,Potential
12360,52,3,2662.06,2,Potential
12361,287,1,189.9,3,Loyal
12362,3,10,5226.2300000000005,1,At-Risk
12363,110,2,552.0,3,Loyal
12364,8,4,1313.1,0,Champions
12365,291,2,641.38,3,Loyal
12367,4,1,168.9,0,Champions
12370,51,4,3545.69,2,Potential
12371,45,2,1887.96,2,Potential
12372,72,3,1298.04,2,Potential
12373,311,1,364.6,3,Loyal
12374,25,1,742.9300000000001,0,Champions
12375,11,2,457.5,0,Champions
12377,315,2,1628.1200000000001,2,Potential
12378,130,1,4008.62,2,Potential
12379,82,2,852.24,2,Potential
12380,22,4,2724.81,2,Potential
12381,5,5,1845.31,1,At-Risk
12383,185,5,1850.56,2,Potential
12384,29,2,585.27,0,Champions
12386,338,2,401.9,3,Loyal
12388,16,6,2780.6600000000003,1,At-Risk
12390,80,1,549.84,3,Loyal
12391,22,1,460.89,0,Champions
12393,72,4,1582.6000000000001,2,Potential
12394,64,2,1272.48,2,Potential
12395,19,12,3018.63,1,At-Risk
12397,36,2,2409.9,2,Potential
12398,46,1,1635.6599999999999,2,Potential
12399,119,4,1108.65,2,Potential
12401,303,1,84.3,3,Loyal
12402,323,1,225.60000000000002,3,Loyal
12403,50,1,427.7,3,Loyal
12405,149,1,1710.39,2,Potential
12406,22,2,3415.3,2,Potential
12407,50,5,1708.12,2,Potential
12408,33,5,2888.55,2,Potential
12409,79,3,11072.67,2,Potential
12410,309,2,693.33,3,Loyal
12412,75,3,1226.88,2,Potential
12413,67,3,758.1,2,Potential
12414,217,3,562.4100000000001,3,Loyal
12415,24,21,124914.53,1,At-Risk
12417,3,9,3649.1,1,At-Risk
12418,113,1,668.58,3,Loyal
12420,64,1,600.39,3,Loyal
12421,16,4,807.04,0,Champions
12422,96,3,803.5600000000001,2,Potential
12423,1,8,1859.31,1,At-Risk
12424,163,2,1760.96,2,Potential
12425,78,1,777.2,3,Loyal
12426,195,1,582.73,3,Loyal
12427,22,3,825.8000000000001,0,Champions
12428,26,9,7956.46,1,At-Risk
12429,9,4,3750.4,1,At-Risk
12430,43,1,256.4,3,Loyal
12431,36,15,6487.45,1,At-Risk
12432,43,5,5059.32,2,Potential
12433,1,7,13375.87,1,At-Risk
12434,85,2,806.14,2,Potential
12435,80,2,7829.89,2,Potential
12436,100,1,509.01,3,Loyal
12437,2,18,4951.41,1,At-Risk
12438,14,2,2906.85,2,Potential
12441,367,1,173.55,3,Loyal
12442,3,1,172.06,0,Champions
12444,21,5,5005.46,1,At-Risk
12445,22,1,133.4,0,Champions
12446,58,1,1002.3100000000001,3,Loyal
12447,243,1,476.49,3,Loyal
12448,44,1,449.45,0,Champions
12449,22,4,4067.29,2,Potential
12450,156,2,197.88,3,Loyal
12451,11,5,9035.52,1,At-Risk
12452,17,2,430.57000000000005,0,Champions
12453,134,1,707.09,3,Loyal
12454,56,1,3528.34,2,Potential
12455,73,6,2466.86,2,Potential
12456,44,3,3181.04,2,Potential
12457,66,7,2363.23,2,Potential
12458,71,2,947.4,2,Potential
12461,94,2,826.88,2,Potential
12462,19,2,1189.59,0,Champions
12463,53,4,1344.78,2,Potential
12464,10,8,1212.05,1,At-Risk
12465,17,2,742.19,0,Champions
12468,188,2,729.54,3,Loyal
12471,2,30,19824.05,1,At-Risk
12472,32,7,6572.11,1,At-Risk
12473,29,5,3938.55,2,Potential
12474,17,18,7375.79,1,At-Risk
12475,54,1,723.38,3,Loyal
12476,16,11,6816.42,1,At-Risk
12477,23,6,13219.74,1,At-Risk
12478,4,1,680.99,0,Champions
12479,11,1,527.2,0,Champions
12480,28,4,3281.63,2,Potential
12481,23,10,5596.32,1,At-Risk
12483,17,8,2484.98,1,At-Risk
12484,33,6,4541.72,2,Potential
12488,10,3,1298.66,0,Champions
12489,336,1,334.93,3,Loyal
12490,5,10,5417.93,1,At-Risk
12491,39,1,460.40000000000003,0,Champions
12492,63,2,263.21000000000004,3,Loyal
12493,166,2,433.74,3,Loyal
12494,16,7,1246.1,2,Potential
12497,82,1,1043.1,3,Loyal
12498,21,3,403.70000000000005,0,Champions
12500,23,11,4257.82,1,At-Risk
12501,337,1,2169.39,3,Loyal
12502,96,5,3723.87,2,Potential
12504,18,2,482.04999999999995,0,Champions
12506,233,1,73.5,3,Loyal
12507,134,3,1304.81,2,Potential
12508,26,2,398.27,0,Champions
12509,284,1,176.5,3,Loyal
12510,143,2,982.5699999999999,2,Potential
12512,66,2,138.03,3,Loyal
12513,113,1,612.29,3,Loyal
12514,267,1,1017.6800000000001,3,Loyal
12515,353,1,383.7,3,Loyal
12516,78,2,1312.06,2,Potential
12517,28,5,2502.84,2,Potential
12518,1,5,2056.89,1,At-Risk
12519,64,1,340.84000000000003,3,Loyal
12520,79,5,2634.26,2,Potential
12521,143,1,599.68,3,Loyal
12522,39,2,192.72,0,Champions
12523,19,11,1789.77,1,At-Risk
12524,9,8,4485.72,1,At-Risk
12526,1,3,1316.66,0,Champions
12527,82,3,348.71000000000004,3,Loyal
12528,9,6,1933.48,1,At-Risk
12530,60,4,1662.28,2,Potential
12531,15,1,125.22,0,Champions
12532,30,1,349.83000000000004,0,Champions
12534,131,1,1089.18,3,Loyal
12535,92,2,716.35,2,Potential
12536,43,3,12601.830000000002,2,Potential
12538,29,1,363.95,0,Champions
12539,22,4,5568.35,2,Potential
12540,20,17,13400.24,1,At-Risk
12541,30,3,981.18,2,Potential
12544,36,1,372.7,0,Champions
12545,75,2,1000.39,2,Potential
12546,47,2,1161.5,2,Potential
12547,198,2,207.8,3,Loyal
12548,166,1,95.19999999999999,3,Loyal
12550,79,1,964.83,3,Loyal
12551,358,1,168.0,3,Loyal
12552,39,2,437.82,0,Champions
12553,8,10,3692.28,1,At-Risk
12556,50,2,603.71,0,Champions
12557,16,5,11990.960000000001,1,At-Risk
12558,8,1,269.96,0,Champions
12559,311,2,561.71,3,Loyal
12560,5,3,2134.01,0,Champions
12561,303,1,238.85,3,Loyal
12562,8,7,3781.7400000000002,1,At-Risk
12564,261,1,456.90000000000003,3,Loyal
12565,289,1,145.92000000000002,3,Loyal
12566,86,1,351.65,3,Loyal
12567,23,10,9401.28,1,At-Risk
12569,2,32,4124.6900000000005,1,At-Risk
12571,40,2,519.61,0,Champions
12572,9,2,1020.4200000000001,0,Champions
12573,227,1,160.54000000000002,3,Loyal
12574,316,1,218.45000000000002,3,Loyal
12576,36,5,1315.83,2,Potential
12577,35,3,657.8,2,Potential
12578,21,2,2794.51,2,Potential
12579,78,1,440.42,3,Loyal
12580,247,1,415.7,3,Loyal
12581,40,1,197.71,3,Loyal
12582,239,2,511.36,3,Loyal
12583,3,15,7281.38,1,At-Risk
12584,4,9,2338.15,1,At-Risk
12585,234,2,2040.1,2,Potential
12586,17,1,196.94000000000003,0,Champions
12587,8,1,144.0,0,Champions
12588,39,1,214.89999999999998,3,Loyal
12589,29,2,646.68,0,Champions
12590,211,2,9864.26,2,Potential
12591,317,1,452.84999999999997,3,Loyal
